record_id,reviewer1,reviewer2,source
REC0001,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0002,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0003,include,include,SYNTHETIC_ILLUSTRATIVE
REC0004,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0005,exclude,include,SYNTHETIC_ILLUSTRATIVE
REC0006,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0007,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0008,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0009,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0010,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0011,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0012,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0013,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0014,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0015,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0016,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0017,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0018,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0019,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0020,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0021,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0022,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0023,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0024,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0025,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0026,exclude,include,SYNTHETIC_ILLUSTRATIVE
REC0027,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0028,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0029,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0030,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0031,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0032,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0033,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0034,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0035,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0036,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0037,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0038,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0039,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0040,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0041,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0042,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0043,exclude,exclude,SYNTHETIC_ILLUSTRATIVE
REC0044,include,include,SYNTHETIC_ILLUSTRATIVE
