es_id,study_id,reference,exposure_class,comparator_type,yi,vi,sei,ni,es_source,study_design,care_context,adjusted,use_in_primary
1,Adams2017,Adams 2017,tetracycline_class,reference_category,0.5423,0.0942,0.3069,5324,reported_unadjusted,matched_case_control,CA,False,No
2,Adams2017,Adams 2017,tetracycline_class,reference_category,0.2311,0.2634,0.5133,5324,reported_adjusted,matched_case_control,CA,True,Yes
3,Bartoletti2018,Bartoletti 2018,tigecycline,specific_comparator,-2.3026,2.2547,1.5016,336,reported_unadjusted,retrospective_cohort,mixed,False,No
4,Bartoletti2018,Bartoletti 2018,tigecycline,specific_comparator,-2.6593,0.6515,0.8072,336,reported_adjusted,retrospective_cohort,mixed,True,Maybe
5,Baxter2008,Baxter 2008,doxycycline,reference_category,-0.5903,0.0304,0.1742,4493,two_by_two,matched_case_control,HA,False,No
6,Baxter2008,Baxter 2008,doxycycline,reference_category,-0.5903,0.0304,0.1742,4493,two_by_two,matched_case_control,HA,True,No
7,Baxter2008,Baxter 2008,doxycycline,reference_category,-0.8916,0.0491,0.2217,4493,reported_adjusted,matched_case_control,HA,True,Yes
8,Bejcek2024,Bejcek 2024,tetracycline_class,specific_comparator,-2.1547,1.0165,1.0082,24832,two_by_two,retrospective_cohort,mixed,False,Maybe
9,Boven2026,Boven 2026,tetracycline_class,reference_category,0.708,0.0032,0.0564,398080,reported_unadjusted,matched_case_control,mixed,False,No
10,Boven2026,Boven 2026,tetracycline_class,reference_category,-0.0726,0.0064,0.0798,398080,reported_adjusted,matched_case_control,mixed,True,Yes
11,Boven2026,Boven 2026,tetracycline_class,reference_category,0.207,0.0056,0.0746,398080,reported_adjusted,matched_case_control,mixed,True,No
12,Boven2026,Boven 2026,tetracycline_class,reference_category,0.2311,0.0047,0.0687,398080,reported_adjusted,matched_case_control,mixed,True,No
13,Brown2016,Brown 2016,tetracycline,no_antibiotic,0.2311,0.0382,0.1954,169453,reported_adjusted,nested_case_control,HA,True,Yes
